,text
0,"mind your manners, venezuela tells u.s. official jacobson  "
1,photos: a look at the lives of labor for children around the world.  pic.twitter.com/qklxrqazha
2,russia says it has the right to deploy nuclear weapons in crimea:  pic.twitter.com/c6qmmu7yxu
3,video: u.s. asks vietnam to stop letting russia use base as refueling point for bombers.   via 
4,imf aims for 'immediate' stabilization with latest ukraine bailout deal 
5,iraq's rusted war relics find new purpose in the fight against islamic state:  pic.twitter.com/graidrd3qd
6,kerry tells republicans: you cannot modify iran-u.s. nuclear deal  
7,"navigating march madness, in today's reuters fyi:  pic.twitter.com/4u6xbcepyr"
8,"in a 90-minute debate ahead of israel's tightly contested election, peace drew little comment:  pic.twitter.com/x5xn5ytbag"
9,"toyota to recall 112,500 u.s. vehicles on possible safety issues "
10,the world's first airplane flying on solar energy lands in india. editor's choice:  pic.twitter.com/ykwmgdrban
11,"video: family of israeli arab teen deny their son was a spy, after islamic state execution video emerges. "
12,exclusive: u.s. asks vietnam to stop letting russia use former u.s. base to refuel  bombers.  pic.twitter.com/r6hpqh3fad
13,u.s. may be unable to defend u.s.-backed syria fighters from assad 
14,how rusting military equipment in iraq is being recycled for the fight against islamic state:  pic.twitter.com/miktkizc8l
15,"u.s. blacklists more ukrainian rebels, expands non-lethal aid  "
16,"suspects in nemtsov killing probably tortured, russian rights activist says:  pic.twitter.com/85vah5brtz"
17,"six months after a battle that killed over 2,000, palestinians rebuild their lives in gaza.  pic.twitter.com/vex0micqyp"
18,iraqi forces push into tikrit in biggest counter-offensive so far against islamic state:  pic.twitter.com/k2jogemxvy
19,photos: looking back on the first moments of the tsunami that struck japan four years ago.  pic.twitter.com/ot1niqns9f
20,u.s. slaps sanctions on eight ukrainian separatists and a russian bank:  
21,"as israeli election nears, peace earns barely a mention  "
22,family of teen killed by islamic state denies he was a spy for israel:  pic.twitter.com/ixh6sytkgf
23,republican lawmaker vows to summon clinton for testimony by april  
24,exclusive: u.s. asks vietnam to stop helping russian bomber flights  
25,russia says has right to deploy nuclear weapons in crimea:  pic.twitter.com/zhxjedi9nk
26,"a rocky month for emerging markets, in your morning bid by : "
27,u.n. torture investigator accuses u.s. of delaying prison visits 
28,pakistan paramilitary raids major party in volatile karachi:  pic.twitter.com/tu9a5ymdop
29,"u.s. slaps sanctions on ukrainian rebels, russian bank "
30,iraqi forces push into tikrit from north and south  
31,jurors in boston bombing trial to hear fbi evidence  
32,russia says has right to deploy nuclear weapons in crimea: report 
33,suspects in nemtsov killing probably tortured: russian rights activist 
34,"seven marines, four soldiers missing after florida copter crash  "
35,islamic state battling kurdish forces in northeast syria 
36,nato chief says russia still equipping ukraine rebels 
37,"russia may ease ukraine's gas terms, but kiev must settle its bills  "
38,pakistan paramilitary raids hq of major party mqm in volatile karachi  
39,court summons india's ex-pm singh in coal corruption case 
40,"china january-february economic data weaker than expected, fuels policy easing bets  "
41,"u.s. banks' buybacks, dividends may be no reason for shareholder celebrations  "
42,"china says dalai lama less and less influential, but must reincarnate  "
43,"iraqi troops, militia retake strategic town north of tikrit from islamic state  "
44,unions challenge wisconsin's new 'right-to-work' law in court 
45,cuban dissident leader fends off leadership challenge 
46,korean air flight attendant in 'nut rage' case sues chairman's daughter  
47,france mourns sports stars killed in argentina helicopter crash 
48,venezuela's maduro seeks decree powers to face u.s. 'imperialism' 
49,islamic state video shows killing of teen accused as israeli spy 
50,clinton says used personal email account for convenience 
51,hillary clinton blasts republicans over iran nuclear letter  
52,photos: these polluted waters are the site of the 2016 olympic games sailing events.  pic.twitter.com/ihzynwncfk
53,photos: kim jong un's adoring admirers.  pic.twitter.com/zlyw26dmkt
54,"the quest to circle the globe using solar power alone, in today's data dive:  pic.twitter.com/ykxpqmu7ul"
55,islamic state posts video showing killing of israeli arab accused by the group of spying:  pic.twitter.com/jbnqvbfnaw
