,text
0,"as we prepare for #veteransday, we reflect on how our nation helps those who served transition to civilian life: …"
1,learn about education tools for veterans & use our interactive list of programs that help transition to civilian life  …
2,several programs help #veterans transition to civilian life. read more in today’s watchblog:  …
3,"compounded drugs: payment practices vary across public programs and private insurers, and medicare part b policy..  "
4,financial audit: bureau of the fiscal service's fiscal years 2014 and 2013 schedules of federal debt  
5,"today’s watchblog reflects on how our nation helps #veterans transition to civilian life, and links to helpful tools:  …"
6,"for #veteransday, watchblog discusses the programs offered to help servicemembers transition to civilian life:  …"
7,watchblog post: services for veterans  
8,"friday’s watchblog talked about ""better living through the audit process:""  … #weekinreview"
9,wednesday’s watchblog highlighted our reports on responding to infectious diseases:   #ebola #weekinreview
10,this week’s watchblog ranged from infectious diseases to our 5-step audit process. catch up at   #weekinreview
11,yesterday’s watchblog shared how our 5-phase audit process might help in everyday life:  … #weekinreview
12,"wednesday, the watchblog highlighted our reports on responding to infectious diseases:  … #ebola #weekinreview"
13,this week’s watchblog ranged from infectious diseases to gao’s audit process. catch up at   #weekinreview
14,"have a decision to make? ask yourself, “what would an auditor do?”  "
15,friday #lifehack: better living through the audit process. read today's watchblog for how:  …
16,"how we do our work, such as gathering evidence and analyzing results, can help in everyday life, too. read watchblog:  …"
17,financial audit: office of financial stability (troubled asset relief program) fiscal years 2014 and 2013..  
18,military and veteran support: dod and va programs that address the effects of combat and transition to civilian..  
19,women-owned small business program: certifier oversight and additional eligibility controls are needed  
20,our 5 audit steps that save taxpayers billions might also help you make effective choices. more in today's watchblog:  …
21,"from planning to analysis, read about our 5-phase audit process. could it also help in everyday decisions?  …"
22,watchblog post: better living through the audit process  
23,it's native american heritage month - read about issues facing more than 560 federally recognized indian tribes  … #nahm
24,november is #nationaladoptionmonth. find out about state practices and challenges providing services to foster youth:  …
25,fiscal year 2014 agreed-upon procedures: excise tax distributions to the airport and airway trust fund and the..  
26,food safety: fda and usda should strengthen pesticide residue monitoring programs and further disclose..  
27,"information sharing: dhs is assessing fusion center capabilities and results, but needs to more accurately..  "
28,biosurveillance can help prepare us for infectious disease outbreaks. read about this and more in watchblog:  … #ebola
29,"from #flu to #sars, today’s watchblog reviews selections of our work on infectious diseases:   … #ebola"
30,..gov plans to accelerate #ebola vaccine manufacturing.  the watchblog shows how flexible manufacturing may help:  …
31,#ebola is not the 1st infectious disease we’ve faced. read how the u.s. responded to past outbreaks in watchblog:  …
32,today’s watchblog highlights our work on preparing for and responding to infectious disease outbreaks:  … #ebola
33,watchblog post: responding to infectious diseases  
34,interested in working at gao? financial auditing internships available for undergrad & grad students. apply by 11/17  
35,yesterday’s watchblog shared a podcast on veterans' access to outpatient specialty health care. listen here:  
36,thursday’s watchblog highlighted the work of our acquisition & sourcing management team  …
37,"wednesday’s watchblog featured our technical chiefs, including an accountant, an actuary, and an economist:   "
38,monday’s watchblog shared a podcast on federal agencies’ customer service efforts:  
39,this week’s watchblog ranged from gao’s technical chiefs to veterans’ health care. catch up at  
40,we’re hiring undergrad and grad students as summer financial auditing interns. apply by 11/17:  
41,yesterday’s watchblog shared a podcast on veterans' access to outpatient specialty health care. listen here:  
42,thursday’s watchblog highlighted the work of our acquisition & sourcing management team  
43,"wednesday’s watchblog featured our technical chiefs, including  and :   "
44,monday’s watchblog shared our new podcast on federal agencies’ customer service efforts. check it out:  
45,this week’s watchblog ranged from customer service to government purchasing. catch up at  
46,government efficiency and effectiveness: inconsistent definitions and information limit the usefulness of..  
47,watchblog post: podcast on timely access to outpatient specialty health care for veterans  
48,today’s watchblog puts the spotlight on our acquisition & sourcing management mission team:  …
49,"from rockets to supplies, our acquisition & sourcing management team helps ensure taxpayers get value for their money  "
50,watchdog podcast: timely access to outpatient specialty heath care for veterans   
51,dod business systems modernization: additional enhancements are needed for army business system schedule and..  
52,dod space systems: additional knowledge would better support decisions about disaggregating large satellites  
53,energy policy: information on federal and other factors influencing u.s. energy production and consumption from..  
54,federal real property: more useful information to providers could improve the homeless assistance program  
55,pension plan valuation: views on using multiple measures to offer a more complete financial picture  
56,va health care: management and oversight of consult process need improvement to help ensure veterans receive..  
57,our acquisition & sourcing management team looks at how the federal government buys goods and services:  …
58,we have reported on issues and challenges facing u.s. commercial space transportation:   #antares
59,"disability compensation: review of concurrent receipt of department of defense retirement, department of..  "
60,how can va’s #disability programs change to reflect modern concepts of work and disability? we’ve reported:   #ndeam
61,"in fy14, our acquisition & sourcing management team’s work helped save taxpayers >$12 billion. more in the watchblog:  …"
62,"failed #antares launch was to resupply int’l space station. we've reported on #iss access, use, and supply challenges  "
63,"#ottawa, other concerns have  increasing fed building security. we testified on facility security challenges,  "
64,we’ve reported on issues and challenges facing u.s. commercial space transportation:   #antares
65,today’s watchblog highlights the work of our acquisition & sourcing management mission team:  …
66,watchblog post: gao’s acquisition and sourcing management team  
67,"failed #antares launch was to resupply int’l space station. we reported on #iss access, use, & supply challenges:  "
68,"#ottawa, other concerns have  increasing fed building security. we testified on facility security challenges  "
69,"failed #antares launch was to resupply int’l space station. we've reported on #iss access, use, & supply challenges:  "
70,"we’ve reported on issues, challenges facing u.s. commercial space transportation,   #antares"
71,"#ottawa, other concerns have  increasing fed facility security. we testified on building security challenges  "
72,how can gao provide insights into so many areas? check out today’s watchblog on our 5 technical chiefs:  …
73,"chemical assessments: agencies coordinate activities, but additional action could enhance efforts  "
74,usda contracting: further actions needed to strengthen oversight of contracts for professional services  
75,"failed #antares launch was to resupply int’l space station. we reported on #iss access, use, and supply challenges:  "
76,"#ottawa, other concerns have  increasing fed building security. we testified on facility security challenges:  "
77,"accountants, actuaries, and economists, oh my! learn all about gao’s in-house experts in today’s watchblog:  … #wonk"
78,"#ottawa, other concerns have  increasing fed building security. we testified on building security challenges:  "
79,gao reports cover issues from the oceans into space. find out where some of that broad knowledge comes from:  …
80,how can ssa’s #disability programs change to reflect modern concepts of work and disability? we’ve reported:   #ndeam
81,curious what it takes to be an expert at gao? today’s watchblog showcases our 5 technical chiefs:  … #wonk
82,watchblog post: introducing gao’s technical chiefs  
83,we’re hiring undergrad and grad students as summer financial auditing interns. apply by 11/17:  
84," glad you like the watchdog podcasts. most are based on our reports, issued almost daily and available at  "
85,how can va’s #disability programs change to reflect modern concepts of disability and work? we’ve reported:   #ndeam
86,how can ssa’s #disability programs change to reflect modern concepts of disability and work? we’ve reported:   #ndeam
87,"u.s. postal service: information on recent changes to delivery standards, operations, and performance  "
88,watchblog post: podcast on federal agencies’ customer service efforts  
89,interested in bid protests or other gao legal decisions? be sure to follow  to stay informed.
90,"did you know we’re on facebook, too? check us out at  "
91,"over 1,000 figures and images from gao reports are available on our flickr account. check them out at:  "
92,friday’s watchblog shared a podcast on small business loans after hurricane sandy:   #weekinreview
93,"thursday, the watchblog looked at school bullying and protections for vulnerable groups:   #stopbullying365"
94,tuesday's watchblog highlighted our work on federal cybersecurity:   #weekinreview #ncsam
95,"monday, the watchblog shared a podcast on pathogens in poultry products:   #weekinreview"
96,this week’s watchblog ranged from food safety to federal customer service. catch up on what you missed:   #weekinreview
97,did you know we’re also on linkedin? connect with us at  …
98,"we also have an official android app, available for free in the google play store:  …"
99,did you know gao has an official iphone app? download it free at the itunes store:  …
100,yesterday’s watchblog shared a podcast on small business loans after hurricane sandy:  … #weekinreview
101,thursday’s watchblog looked at school bullying and protections for vulnerable groups:  … #weekinreview #stopbullying365
102,"tuesday, the watchblog highlighted our work on federal cybersecurity:  … #weekinreview #ncsam"
103,monday’s watchblog shared a podcast on pathogens in poultry products:  … #weekinreview
104,this week’s watchblog ranged from food safety to federal customer service. see what you missed:   #weekinreview
105,watchdog podcast: federal agencies' customer service efforts   
106,managing for results: selected agencies need to take additional efforts to improve customer service  
107,watchblog post: podcast on disaster loans to small businesses following hurricane sandy  
108,it's national bullying prevention month: the watchblog talks about laws relevant to school #bullying  … #stopbullying365
109,"for bullying prevention month, the watchblog discusses bullying, the law & challenges for schools  … #stopbullying365"
110,watchdog podcast: disaster loans to small businesses following hurricane sandy   
111,small business administration: additional steps needed to help ensure more timely disaster assistance  
112,"no one likes a bully, so for #bullying prevention month the watchblog shares legal protections for vulnerable groups:  …"
113,it's nat’l #bullying prevention month: watchblog discusses school bullying & legal protections for vulnerable groups  …
114,watchblog post: school bullying and legal protections for vulnerable groups  
115,"this national cybersecurity awareness month, learn how we can better protect federal data and systems  … #ncsam"
116,cybersecurity is on our high risk list. read about why in today’s watchblog  … #ncsampic.twitter.com/jrpalo0cqj
117,it’s #cybersecurity awareness month. today’s watchblog shows the dramatic increase in cybersecurity incidents   … #ncsam
118,"for #cybersecurity awareness month, today’s watchblog shares key findings on federal cybersecurity efforts  … #ncsam"
119,combating terrorism: strategy to counter iran in the western hemisphere has gaps that state department should..  
120,watchblog post: watching out for federal cybersecurity  
121,watchblog post: podcast on food safety and reducing pathogens in poultry  
122,federal paid administrative leave: additional guidance needed to improve opm data 
123,watchdog podcast: food safety and reducing pathogens in poultry   
124,food safety: usda needs to strengthen its approach to protecting human health from pathogens in poultry products 
125,"changing crude oil markets: allowing exports could reduce consumer fuel prices, and the size of the strategic..  "
126,friday's watchblog looked at how availability of #flu vaccines changes from year to year:  …
127,thursday’s watchblog highlighted our work on u.s. food assistance programs  … #wfd2014
128,this week’s watchblog ranged from food aid to flu vaccines. catch up at:  
129,yesterday’s watchblog looked at how availability of #flu vaccines change from year to year:  … #weekinreview
130,thursday’s watchblog highlighted our reports on u.s. food assistance programs  … #wfd2014
131,this week’s watchblog ranged from food aid to flu vaccines. catch up at  
132,it’s #flu season. read today’s watchblog on the challenges of preparing for this time of year:  …
133,"#ebola czar to lead federal response.  we found planning, coordination were key lessons learned in 2009 h1n1 pandemic  "
134,today’s watchblog highlights our reports on matching #flu vaccine supply and demand  …pic.twitter.com/kdeb1ryu0t
135,"#ebola czar to lead federal response. we found planning, coordination were key lessons learned in 2009 h1n1 pandemic  "
136,too early or too late? today’s watchblog explains #flu vaccine shortages and excesses  … #influenza #vaccination
137,"#ebola czar to lead federal response. we found planning, coordination were key lessons learned in 2009 h1n1 pandemic:  "
138,"hello, #flu season! have you met #vaccine? today’s watchblog highlights the challenges of matching these two:  …"
139,got your flu #vaccine? today’s watchblog highlights why some years it’s easier to find a shot  … #influenza
140,today’s watchblog highlights our reports on the challenges of matching flu vaccine supply and demand  … #flu #vaccine
141,watchblog post: flu season is here!  
142,"this world food day, learn how some us global food programs succeed where others struggle  … #wfd2014"
