,text
0,the #mcrmc report proposes changes for military #healthcare. we've testified on military health system reform: http://1.usa.gov/1tfilwz 
1,tax refund fraud from id theft cost the us billions in filing season 2013. learn more for #taxidtheft awareness week-http://blog.gao.gov/2014/09/24/identity-theft-tax-refund-fraud/ …
2,#mcrmc report proposes changes for military #healthcare. we've identified ways to reduce military health care costs: http://1.usa.gov/1tgsmyj 
3,#potus budget to be issued next week. find budget resources and tools here: http://blog.gao.gov/2014/02/28/navigating-the-complexities-of-the-federal-budget/ …pic.twitter.com/kvb3l3porv
4,defense health care: additional information needed about mental health provider staffing needs http://1.usa.gov/1ketpkp 
5,what are the costs of protecting taxpayers from identity theft refund fraud? find out for #taxidtheft awareness week: http://blog.gao.gov/2014/09/24/identity-theft-tax-refund-fraud/ …
6,#potus budget to be issued next week. learn more about the fiscal outlook: http://gao.gov/fiscal_outlook/overview#t=0?utm_source=twitter&utm_medium=social&utm_campaign=gpi …pic.twitter.com/ryim9xdfv9
7,federal workforce: opm and agencies need to strengthen efforts to identify and close mission-critical skills gaps http://1.usa.gov/1ctkcre 
8,stronger pre/post-refund strategies can help irs combat tax refund #fraud. learn more for #taxidtheft awareness week: http://blog.gao.gov/2014/09/24/identity-theft-tax-refund-fraud/ …
9,#mcrmc releases #military compensation & retirement report. we’ve reported on potential cost savings in this area: http://www.gao.gov/duplication/action_tracker/military_personnel_costs/action1?utm_source=twitter&utm_medium=social&utm_campaign=gpi …
10,#potus budget will be issued next week. find budget resources and tools here: http://blog.gao.gov/2014/02/28/navigating-the-complexities-of-the-federal-budget/ …pic.twitter.com/sdt90hpgnj
11,#military compensation and retirement report released today. we’ve reported on military and civilian pay comparisons: http://www.gao.gov/products/gao-10-561r?utm_source=twitter&utm_medium=social&utm_campaign=gpi …
12,"if you have a mortgage, it's likely securitized. don't know what that means? check out today's watchblog: http://blog.gao.gov/2015/01/29/understanding-the-housing-finance-system/ …"
13,"more than 1 million homes were in foreclosure by the end of 2013. read more about housing finance, today's watchblog: http://blog.gao.gov/2015/01/29/understanding-the-housing-finance-system …"
14, thank you for your inquiry. we don’t publish a calendar for when reports will be issued.
15,#military compensation & retirement report released today. we’ve reported on potential cost savings in this area: http://www.gao.gov/duplication/action_tracker/military_personnel_costs/action1?utm_source=twitter&utm_medium=social&utm_campaign=gpi …
16,weaknesses in 3rd party programs limit irs’s ability to detect fraudulent tax id theft refunds. #idtheftchat http://www.gao.gov/products/gao-14-633?utm_source=twitter&utm_medium=social&utm_campaign=gpi …
17,irs estimated there was about $30 billion in attempted tax id theft refund fraud in filing season 2013. #idtheftchat: http://blog.gao.gov/2014/09/24/identity-theft-tax-refund-fraud/ …
18,#mcrmc releases #military compensation & retirement report. we’ve reported on military and civilian pay comparisons: http://www.gao.gov/products/gao-10-561r?utm_source=twitter&utm_medium=social&utm_campaign=gpi …
