,text
0,"on wpr: ouattara's successor  , u.s. allies free ride  , poland reshuffle  "
1,polish government reshuffle could soften russia policy:  on the legacy of polish fm .  
2,"off the radar in media roundup: 3 mexican soldiers charged with homicide, sudan’s bashir meets saudi crown prince.  "
3,"today's media roundup: rousseff takes lead, german military disrepair, don't hype the threat of returning jihadists.  "
4,"don't panic about ebola, writes , but the u.s. public health system must prepare for the next epidemic.  "
5,nikolas gvosdev on how obama’s muddled messaging encourages u.s. allies to free ride:  
6,"alex vines, head of , on the political jockeying that has put cote d’ivoire’s reconciliation in jeopardy.  "
7,"on wpr: cote d’ivoire’s reconciliation in jeopardy, how obama encourages u.s. allies to free ride.  "
8,what's going on at the caspian sea summit?    
9,"on wpr: after ebola  , why uganda and drc are working together  "
10,"on wpr: france's iraq strategy  , big stakes at the caspian sea summit   "
11,cdc confirms 1st ebola case in the u.s.  explains why you shouldn't panic in our new feature:  
12,"after years of conflict, uganda and the drc are cooperating, but friendly ties are still far off.  "
13,"after ebola: preparing western health care systems for the next epidemic, our latest feature from :  "
14,"can france's iraq policy do more to mobilize europe, which is too often risk-averse in the middle east? "
15,"today's media roundup: libyan rivals hold first un-backed talks, isis intel missteps, china’s climate change paradox.  "
16,wpr's  on the loss of syria's cultural heritage:  … our feature on protecting it: 
17,"check out our new, redesigned media roundup, constantly updated with  wire stories and off the radar news.  "
18,the caspian sea summit has attracted little attention. but the issues at stake carry far-reaching implications.  
19,"myriam benraad on how france, by joining the fight against isis, is regaining a long-term foothold in iraq.  "
20,"on wpr: why france joined the fight against isis, the caspian sea summit's reach.  "
21,"on wpr: what the un general assembly revealed  , the eu's migrant surge  "
22,"on wpr: briefings on the yuan's rivalry with the dollar  , and how china weathered its slowdown  "
23,wpr's maria savel on why the eu must develop a clear strategy to address migration surge:  
24,"today's leading indicators: turkey reinforces border as isis shells border town, cameroon captures boko haram leader.  "
25,the roots of beijing’s hard line on hong kong’s pro-democracy protests.  
26,"today's media roundup: hong kong protests, militarizing the ebola crisis, obama’s opportunity with india.  "
27,"defying predictions, china has managed its economic slowdown to avoid social shocks.  "
28,.: u.n. only really still relevant in two—admittedly sensitive—regions: africa and the middle east.  
29,".: china's yuan boosted by u.k. bond deal, but it won't rival dollar—yet.  "
30,"on wpr: the growing yuan-dollar rivalry, china manages its slowdown, and the u.s. dominates the unga.  "
31,"xi jinping has rewritten china’s hong kong policy as ‘one country, one destiny.’ "
32,read world politics review anywhere on our new iphone app. two-weeks free with download:  
33,"get all the wpr articles you missed this week at  . to get them in your inbox, sign up at  "
34,"on wpr: hawthis in yemen  , building an iraqi army  , japanese whaling  "
35,international pressure and public opinion are forcing changes to japanese whaling.  
36,"today's leading indicators: castro names reform ‘czar’ economy minister, $4 billion in china-spain deals, himalayas.  "
37,read world politics review anywhere on our new iphone app. two-weeks free with download:  
38,"today's media roundup: north korea tv admits kim jong-un's health problems, aid to fight ebola lags, grave new world.  "
39,".: a second attempt to build a professional iraqi army is a long shot, but u.s. strategy depends on it.  "
40,"in a few days, hawthis have redrawn yemen’s political map more radically than 2011 uprising,  reports  "
41,"on wpr:  on the hawthis upending yemen's transition,  on building a better iraqi army.  "
42,"on wpr: india-vietnam deals  , chile's anarchists  , rouhani in new york  "
43,china’s leaders still see the seoul-washington military alliance as threatening vital chinese interests.  
44,"iranian president  offered little candor at yesterday's  event, reports :  "
45,"today's leading indicators: south korea buys $7 billion of f-35as, mexico to join u.n. peacekeeping missions.  "
46,nikolas gvosdev: ukraine has discovered the painful gap between flowery u.s. rhetoric and concrete assistance.  
47,. for  on qatar’s more pragmatic foreign policy and fallout from its islamist agenda.  …
48,"today's media roundup: sierra leone widens quarantine, climate summit talk, the price of china's uighur repression.  "
49,"vietnam is securing a key place in india’s ‘act east’ policy, writes .  "
50,".: in chile, a latin american success story, bombings threaten nonviolent anarchist movement’s gains.  "
51,"on wpr: vietnam’s role in india’s ‘act east’ policy, chile bombings, qatar and turkey's islamist calculations.  "
52,"by expelling muslim brotherhood leaders, will qatar reshape middle east rivalries?    "
53,why asia’s future may hinge on the capabilities of the chinese navy:  
54,"rwanda military purges expose cracks in kagame regime that appeared solid and coherent, at least from the outside.  "
55,today's leading indicators: merkel invites sisi to germany; uganda wants $8 billion china railway loan; nile dam.  
56,why zimbabwe's opposition poses little threat to mugabe:  
57,". in : isis ""too strong, too entrenched and too wealthy to be defeated by air power alone""  …"
58,today's media roundup: obama stretches own counterterrorism limits; u.s. drone kills 10 in pakistan; isis' ancestors.  
59,"the senate wants the us to recognize ukraine as a “non-nato ally."" but it ignores the costs of such symbolism.  "
60,what's behind the military purges in rwanda?  on cracks in kagame's regime.  
61,"on wpr: rwanda military purges expose cracks in kagame regime, washington's hollow ukraine gesture.  "
62,"the ebola crisis offers ban ki-moon a last chance to lead, writes .  "
63,"on wpr: zimbabwe's opposition in tatters  , chinese seapower  "
64,"on wpr: pragmatic but pricey china-argentina deals  , china's flexible iran policy  "
65,"from deals with argentina to beijing's fluid iran policy and bold naval modernization plans, we have china covered.  "
66,"check out our latest feature, on china's naval modernization and the implications of seapower, by :  "
67,"tsvangirai will seek to retain control of the mdc, but his time is over as a meaningful political force in zimbabwe.  "
68,"today's media roundup: liberia's 'trees for cash', russia to add 80 new warships to black sea fleet, obama doctrine?  "
69,why china seems to be the least concerned of all the parties about the outcome of iran nuclear talks:  
70,".: despite poor optics, china's huge currency deal with argentina reflects both sides' pragmatism.  "
71,"on wpr: china and argentina's pragmatic deals, china’s (not always) low-profile approach to iran.  "
72,. on how obama's plan against the islamic state violates two cardinal rules of strategy:  
73,"on wpr: sudan-iran tension  , ban ki-moon, action star?  , nuclear algeria  "
74,the persistent threat from north korea continues to constrain south korea's global opportunities. our latest report:  
75, on algeria’s slow march toward nuclear energy:  
76,"charles king in : scottish referendum is the start, not the end, of a debate about the uk's future.  …"
77,"today's leading indicators: south sudan rebel delegation heads to china, south korea-canada fta, paraguay guerrillas.  "
78,"on the reshuffle at the european commission: “this represents a power shift if the juncker approach works.""  "
79,"today's media roundup: u.s. ramps up nuclear arms, china’s xinjiang hit by explosions, yemen goes backwards.  "
80,how the middle east's sectarian tensions are playing out in the dispute between iran and sudan:  
81,.: ban ki-moon revealed a new side to his character over the past week: action ban.  
82,"on wpr: sectarian tensions and the sudan-iran dispute, ban ki-moon's last chance to lead.  "
83,our new strategic posture review on south korea:  
84,why oil is the thing to watch in the dispute over western sahara:  
85,the battlefield realities of syria’s civil war defy the logic of obama's declared strategy there.  
86,"on wpr: xi, modi talks   u.s. isis strategy won't work   juncker's shake-up  "
87,"if morocco is seen in the west as a bulwark of stability, can western sahara ever achieve independence? our feature:  "
88,"while aspiring for reunification and improved security, south korea lacks capacity to achieve these goals on its own  "
89,"today's leading indicators: ebola health workers killed in guinea, poland's new foreign minister, guatemala protests.  "
90,watch wpr editor-in-chief judah grunstein discussing scotland on   now: …
91,"wpr's maria savel on juncker's attempt to shake up the european commission, with thoughts from josef janning .  "
92,"today's media roundup: sarkozy's return in france, sisi’s foreign policy, don't let ukraine into nato.  "
93,.: u.s. strategy against isis is unlikely to work because it violates two cardinal rules of strategy.  
94,"for now, india and china have put aside border disputes given the logic of economic ties, writes .  "
95,"on wpr:  on xi's trip to india,  on why u.s. strategy against the islamic state won't work.  "
96,"on wpr: hong kong's quest for democracy  , our strategic posture review on south korea  "
97,"on wpr: a tale of two interventions  , what the dutch king's speech reveals   "
98,"rather than trying to solve the world’s problems, america has come to terms with trying to just contain them.  "
99,"today's leading indicators: armed shiite rebels in yemen’s capital, u.s. military aid to latvia, kazakh fm in mexico.  "
100,"our new strategic posture review takes a close look at south korea, a developed country in a dangerous neighborhood:  "
101,"what are the foreign policy implications if scotland votes ""yes""?  "
102,".'s robert daly: xi rewrites china’s hong kong policy as ""one country, one destiny."" "
103,"today's media roundup: cia skeptical of syria strategy, nigeria's 'torture officers,' benghazi plot twist.  "
104,". analyzes the dutch king's speech, which revealed a sharp shift in the hierarchy of european concerns.  "
105,"in different interventions, the u.s. is content to just contain both isis and ebola, writes wpr's judah grunstein.  "
106,"on wpr: judah grunstein on a tale of two interventions,  on the dutch king's speech.  "
107,"regardless of who governs georgia, the country's commitment to further integration with europe is likely to continue.  "
108,"gvosdev: to fight the islamic state, the obama national security team is pulling a page from the libya playbook.  "
109,"on wpr: cameroon and boko haram  , obama's isis coalition  , ahrar al-sham  "
110,"check out our latest feature, on how to break western sahara's stalemate:  "
111,why cameroon's fight against boko haram is tied to the state’s anti-corruption drive:   
112,"today's leading indicators: 7 police killed in farc attack, uruguay to join tpp, $3.5 billion russia-egypt arms deal.  "
113,wpr's : syria’s battlefield realities undermine u.s. strategy on isis   with  and 
114,"the peace process now exists to contain the conflict, but only a crisis will save western sahara.  "
115,"today's media roundup: pakistan pm threatens to clear protest camp, us to lead ebola fight, israel’s nsa scandal.  "
116,washington doesn't want u.s. boots on the ground against isis. but is there a plan b if no u.s. allies take that on?  
117,"escalation in the fight against boko haram and corruption purges have put cameroon on edge, writes .  "
118,on wpr:  on political anxiety in cameroon; gvosdev on obama's coalition to fight the islamic state.  
119,great   report on iraq's shiite militias  … read our global insider for background  
120,"on wpr: m-pesa comes to europe  , our latest feature on how to save western sahara  "
121,"on wpr: briefings on iraq's kurds    , shanghai cooperation organization  "
122,"in the fight against the islamic state, iraqi kurds are problematic partners.  "
123,"contrary to western fears, the krg's barzani is a pragmatist who won't risk a hazardous bid for kurdish independence.  "
124,today's leading indicators: china-india border skirmish; south sudan foreign worker ban; russia-zimbabwe mine deal.  
125,waiting for disruption: the western sahara stalemate. our latest feature  
126,sign up for our free weekly email and get a free copy of our feature on china's post-mao generation.  
127,africa to europe technology transfer: kenyan mobile payment system m-pesa expands to romania   
128,"today's media roundup: china's port city in sri lanka, sweden's coalition and the far right, south korea's liberals.  "
129,the shanghai cooperation organization is finally embracing expansion. richard weitz on the obstacles going forward:  
130,why the threat of the islamic state has put independence on hold for iraq's kurds:  
131,. reports from irbil on the kurds' agenda and why the west must be clear-eyed about their alliance.  
132,on wpr: briefings on the kurds as problematic partners and why kurdish independence is on hold; weitz on the sco.  
133,"having tried hope, obama turns to fear to reaffirm u.s. power.   "
134,"on wpr: central america  , obama's weapon of fear  , georgia moves west  "
135,"georgia remains staunchly pro-west despite prosecution of saakashvili, according to wpr's   "
136,"today's leading indicators: un peacekeeping in car; india, vietnam ink seven agreements, japan-russia navy exercises.  "
137,what does china hope to achieve with its maritime silk road initiative?  
138,. on why sweden's far right surged in sunday's elections:  
139,"today's media roundup: u.s. bypasses security council on syria; cuba's medical diplomacy; nixon, israel and the bomb.  "
140,central america is mired in border fights when cooperation and collaboration are more important than ever.  
141,.: obama still has a potent diplomatic weapon: fear.  
142,"on wpr: border disputes and political tension in central america, obama goes from hope to fear.  "
143,sign up for our free weekly email and get a free copy of our feature on china's post-mao generation.  
144,the foreign policy effects if scotland votes 'yes.'  
145,"though politically attractive, u.s. ‘train and equip’ missions often disappoint, warns nikolas gvosdev.  "
146,the politics of setting and vetting the global agenda.  
147,"get all the wpr articles you missed this week at  . to get them in your inbox, sign up at  "
148,why kenyatta's halted trial is one more sign of how arbitrary the icc has become:  
149,"despite all its power, thailand's military junta still has to deal with thaksin’s legacy.  "
150,. on why obama’s legacy is an important benchmark for future american national security strategy:  
151,"on wpr: france's mistral problem  , obama's legacy  , china's new silk road  "
152,sign up for our free weekly email and get a free copy of our feature on china's post-mao generation.  
153,"today's leading indicators: rwanda arrests and possible purges, china and russia to build seaport in sea of japan.  "
154,what china hopes to get out of its maritime silk road initiative:  
155,"why do some issues, like the campaign to ban ""killer robots,"" attract global policy attention, while others don't?  "
156,possible scottish independence raises a number of difficult foreign policy questions.  
157,"today's media roundup: vietnam's pivot, catalan independence rally, a new definition of chinese patriotism.  "
158,could obama's national security policy become political poison like carter's?  on a legacy in the making.  
159,". on how france's hollande inherited the mistral problem from his predecessor, sarkozy.  "
160,"on wpr: france's mistral conundrum, obama's national security legacy.  "
161,"how has erdogan changed turkey, and how will that change the mideast and the world? our latest special report.  "
162,"today's leading indicators: mexican pollution, rwandan purge speculation, israel-azerbaijan ties.  "
163,how will the scottish referendum affect foreign policy? wpr's maria savel explores the many issues raised.  
164,"today's media roundup: obama's isis strategy, kenya's new elite, scottish scaremongering.  "
165,"don't underestimate the significance of the india-japan love affair, writes .  "
166,"having amassed power, thailand’s junta still faces a legitimacy gap.  "
167,"on wpr: thailand's junta faces legitimacy gap,  on the india-japan love affair.  "
168,"on wpr: icc limits in africa  , problems with u.s. 'train and equip'  , pkk  "
169,"why do some international issues become popular causes, while others are ignored?  explains.  "
170,"today's leading indicators: russia nuclear missile test, china peacekeepers to south sudan, wind energy in brazil.  "
171,turkey's erdogan is making peace with the pkk a priority of his presidency  
172,"today's media roundup: new european commissioners, nicaragua's huge, secretive canal plans, russia's next land grab.  "
173,why lesotho’s political future hinges on south africa’s ability to play a leadership role in the region.   
174,gvosdev: too many politicians ascribe almost talismanic powers to introduction of u.s. arms into regional conflict.  
175,"the icc’s halting of kenyatta's trial is another sign of the court's limited powers, especially in africa.  "
176,"on wpr: why the icc shelved kenyatta's trial, the limits of u.s. 'train and equip' missions.  "
177,"on wpr: lesotho’s political crisis  , the politics of setting and vetting the global agenda  "
178,"on wpr: india-japan impasse  , india-australia ties  , resurgent nato  "
179,"in our latest feature,  shows the power of advocacy groups to set the global agenda.  "
180,"today's leading indicators: angola navy gets brazil ships, russia building arctic bases, medical marijuana in chile.  "
181,wpr's  looks at south africa's mediation role in the lesotho political crisis  
182,"as cuba's government allows market forces freer play, it's still willing to suffer slower growth to maintain control.  "
183,"today's media roundup: modi to meet obama at white house, why assad could be losing, mexico's dubious reforms.  "
184,"once again relevant, can nato be effective?  "
185,"modi’s visit signals progress in india-japan ties, but nuclear divergence remains a major obstacle going forward.  "
186,saurav jha () on what india and australia's nuclear deal means for their strategic alignment:  
187,on wpr: double briefings on nuclear ties in the asia-pacific; nato once again relevant in european security.  
188,what role could shiite militias play against isis?  explains:  
189,"on wpr: pakistan's protests  , nato's fighting words  , cuba's import rules  "
190,the silver lining to pakistan's political crisis:  
191,today's leading indicators: guantanamo prisoners to chile? ennahda won't field tunisian presidential candidate.  
192,new import restrictions highlight the dilemma of cuba's economic reforms.  
193,". editor david remnick on obama's no stupid stuff doctrine, ""not a mantra to be derided or dismissed."" …"
194,"today's media roundup: al-shabab names new leader, qatar's islamist support, bad economics of scottish independence.  "
195,.: it will take more than a decent nato conference to restore the western powers’ vim and vigor.  
196,". and sehar sarah: sharif looks to survive protests in pakistan, but the military has hamstrung him.  "
197,"on wpr: pakistan protests leave sharif bruised, military boosted; nato haunted by three defeats.  "
198,the price of defeating the islamic state:  
199,"managing partnerships, not enlargement, is nato’s real challenge.  "
200,why china is buying up assets throughout europe:  
201,"on wpr: china's european shopping spree  , defeating isis  , colombia  "
202,"destroying the islamic state is not the same as altering its raison d'etre, warns .  "
203,"today's leading indicators: pakistan navy moves from karachi, iraq sues greek firm for shipping kurdish oil.  "
204,"“there is no other economic activity here.""  on why peru's crackdown on illegal gold mining faces resistance.  "
205,security diplomacy has become the centerpiece of colombia’s foreign policy.  
206,"as obama meets with erdogan at the nato summit, be sure to check out our new special report on turkey.  "
207,"headlines from today's media roundup: coalition against isis, ebola's economic toll, bahrain drain.  "
208,".: a campaign against the islamic state will be one of many, the beginning of a costly strategic cycle.  "
209,.: europe is emerging as the soft underbelly of the u.s.-china trade rivalry.  
210,"on wpr: why china is buying up so many european assets, the price of defeating the islamic state.  "
211,"sunni militant groups have done the most to weaken isis in northern and eastern syria, and they need more help.  "
212,why president benigno aquino overreached in the philippines:   
213,can putin convince russia's oligarchs that the pain of western sanctions is a price worth paying?   
214,"on wpr: aquino overreaches  , russia's oligarchs  , new eu leadership  "
215,zero solutions: challenges mount for erdogan's turkey in wpr's latest special report.  
216,"today's leading indicators: china's xi cancels pakistan trip, egypt’s fm in ethiopia for nile dam talks, pirates.  "
217,through appointment of top jobs eu tries to balance member state divisions:  
218,"peru has cracked down on illegal mining, but at what cost?  "
219,"headlines from today's media roundup: silva surges in brazil, isis' antiquities sideline, is abenomics working?  "
220,. on why russia's oligarchs could put the pressure on putin:  
221,"in the philippines, aquino seems more worried about his legacy, as the row over seeking a second term reveals.  "
222,"on wpr: aquino's overreach in the philippines, why russia's oligarchs hold the key to russia-west standoff.  "
223,"whenever obama's decision-making has departed from his preferred caution, the results have not been good.  "
224,the u.s. call for a 'freeze' on provocations in the south china sea won't amount to much if it doesn't back it up.  
225,turning indonesia into a “maritime nation” is nothing but logical. here's how jokowi can do it:  
226,"on wpr: cautious obama on iraq and ukraine  , jordan's limited isis strategy  "
227,on wpr: briefing on jokowi's maritime plans   and on the u.s. south china sea 'freeze'  
228,"why u.s. policy in syria complicates jordan’s response to isis threat, with  and   "
229,"today's leading indicators: colombia oks fracking, russia-algeria nuclear cooperation, turkey f-16s to pakistan.  "
