,text
0,tune in tomorrow for a discussion w/ the president of  about #highereducation
1,video:  features editor laurie abraham on justice ruth bader #ginsburg.   #scotuspic.twitter.com/kfifp53yrs
2,"read: ""supreme court justice ruth bader #ginsburg: i'm not going anywhere"" via   … #scotus"
3,. center for effective public management founding director  talks next about the 2014 #primaries. your questions?
4,". talks about the #secretservice & his book, ""the first family detail""pic.twitter.com/xfivyvveer"
5,"how do you decide on a candidate? what qualities, messages, strategies, etc. do you find compelling? #2014midterms"
6,icymi:  (d-md) on the #2014elections & #dccc  pic.twitter.com/x2c9vunrch
7,icymi:  (r-ok) on u.s.-led efforts to combat #isis militants in #iraq and #syria  pic.twitter.com/c7jvqfecij
8,"tmrw we'll discuss 's wide ranging interview w/ justice ginsburg where she said ""i'm not going anywhere""  "
9,joining us on our  #b1g tour is  executive vice president & provost joseph steinmetz. #buckeyespic.twitter.com/7hofyobqju
10,what are your questions about #campaign2014? we're speaking with  (d-md) about the elections & #dccc.pic.twitter.com/8ma7xmwnbu
11,. (r-ok) is talking with us about #isis & the role of congress in dealing with the threat.pic.twitter.com/cqszrccqji
12,which party do you trust on national security?
13,. chmn  is this week's guest on 's newsmakers - this sun 10/5 @ 10am.  check it out! #election2014
14,"., president of  discusses impact of #highereducation including costs, athletics & research.pic.twitter.com/fcavg00efl"
15,". of  discusses islam, the impact of the u.s. led fight against #isis, #muslim americans, & #middleeast countries."
16,see the  report on the number of european who have joined jihad. what are your views on these statistics?pic.twitter.com/1yvbmuseyk
17,thomas sanderson of the  will discuss the treat of #isis & other #islamic extremist groups pose against u.s. & allies. your thoughts?
18,chart:  report also looked at the partisan gaps on issues.  read the report here:  pic.twitter.com/tp4s57n0hp
19,chart: here's a look at vote preference for congress from .twitter.com/tupuanub5h
20,what influenced your political party choice?  was it your parents?  an issue?  tell us this morning
21,. of  joins us from nyc to discuss the domestic violence issues in #nfl & potential action by congress
22,. from carnegie endowment for int'l peace discusses u.s.- led military campaign against #isis and defeating extremist violence.
23,what public policy issues should we be discussing? we'll have open phones until 10am. what do you want to talk about?pic.twitter.com/xj0rmyzq6g
24,"read: 's  article, ""police behavior in #ferguson draws attention of justice department""   "
25,". (r-la) talks with us next about #isis, the congressional agenda, & #campaign2014, among other issues. what do you want to ask?"
26,".'s  article, ""tom cole: obama should call congress back to washington for #syria vote"" …"
