,text
0,only one week left to get your #cybercon2016 ticket at the advanced purchase rate! don't miss this deal:  
1,opm releases back pay interest calculator  
2,top democrats say they've concluded russia is behind hacks  
3,nsa building contract to help redirect incoming asteroids  
4,house unanimously passes it modernization bill  
5,hybrid approach to federal open source  
6,"cloud use, spending to increase substantially but more so for private vendors  "
7,what questions would you like to hear answered at cybercon? tweet us yours using #cybercon2016!   
8,nist grants fund regional cybersecurity education communities  
9,sammie awards spotlight the best in government  
10,senior executives association names new president 
11,irs chief tells house panel he does not deserve impeachment  
12,3 takeaways from psc’s federal cio survey  
13,"check out the #cybercon2016 website for speaker confirmations, conference agenda, and to reserve your ticket! "
14,navy sets gsa’s oasis as main source for professional services  
15,fbi arrest man threatening to shoot up federal building  
16,dhs climbs off the mat in latest fevs survey  
17,gsa facilities contract awarded first best-in-class status  
18,sorting dirty data is the final hurdle in leveraging analytics  
19,#cybercon2016 update: brig gen robert skinner will be speaking on the tip-of-spear panel. get your tickets now:  
20,dhs offers help securing elections from hacks — on voluntary basis 
21,media outlets sue fbi for details on iphone hacking tool  
22,"true foia litigation costs unknown, says gao  "
23,new omb guidance updates privacy management for agencies  
24,report: federal ctos speed innovative tech if given proper structure  
25,memo for the next dhs secretary  
26,merged it modernization bill to include central fund  
27,us official: hard to alter us elections through hacking  
28,tickets for #cybercon2016 are going fast! reserve your spot now:  
29,omb opens search for permanent deputy federal ciso  
30,"unions, accountability foes battle again on va reform  "
31,addressing the people factor in insider threats  
32,the defense news top 100 webcast with ed caso and steven grundman is today at 2pm! you still have time to register:  
33,the defense news top 100 webcast with ed caso and steven grundman is tomorrow! register here:  
34,5 days until the defense news top 100 webcast with ed caso and steven grundman! sign up here:  
35,omb taps current fed to fill federal ciso role  
36,"nato officials, industry meet on cyberattack challenge  "
37,cyberwar and popcorn: 'zero days' movie stokes legitimate fears  
38,there's still time to sign up for the defense news top 100 webcast! register now:  
39,armed man who approached white house pleads to federal charge  
40,oversight report goes behind scenes of opm hack  
41,today is the last day to get your cybercon 2016 ticket at the industry early bird price of $199! register here:  
42,fedramp hosts 34 agencies at roundtable  
43,#cybercon2016 industry early bird pricing has been extended until 9/7! don't miss this deal! get your tickets now:  
44,an argument for putting the cloud above the clouds  
45,guccifer gets 52 months for hacking us officials  
46,clinton promises response to cyberattacks; illinois notifies voters of hack 
47,"sec whistleblower program pays $22m award, celebrates 5 years success  "
48,‘deception committee’ conducting classified study on russian hacks  
49,fbi wants 'adult conversation' on encryption  
50,fedramp surveys users on vendor prioritization  
51,kremlin-backed hackers target russia-focused think tanks  
52,industry early bird pricing for #cybercon2016 ends tomorrow! get your tickets now:  
53,5 agency takeaways from clinton’s mental health plan  
54,"known unknowns of cybersecurity talent shortfall, part 1  "
55,russian hacker convicted of multimillion dollar fraud scheme  
56,dhs wants to bring more foreign entrepreneurs to us  
57,former cybercop gives administration d- on cybersecurity  
58,fbi names new science and tech lead  
59,low 2017 cola worse than none at all  
60,gsa inspector general looking for it team lead  
61,feds want to ban swimming with hawaii dolphins  
62,dol drops final guidance on contractor compliance  
63,official: fbi probing attempted cyber breach of ny times  
64,4 takeaways from gsa’s shared services day  
65,incumbent vendors and it modernization: help or hindrance?  
66,cybercon update: we are excited to announce raj shah  as a keynote speaker for #cybercon2016! register here:  
67,"the new   is launching... now! today, you may see errors or blank pages. all will be working soon. thank you!"
68,final draft of proactive cyber sin delayed  
69,new sba website simplifies certification process  
70,employee groups decry reform bill headed to house  
71,"alert: feds must patch symantec, norton antivirus tools now  "
72,omb: only one option for breach response contracts  
73,"congress' shrinking calendar suggests omnibus, cr ahead  "
74,overhaul of background check system could lean on predictive analysis  
75,advocate for your security programs and avoid being comic relief  
76,iarpa puts up $100k for 3-d satellite mapping solution  
77,congress must tackle key defense bills before summer break  
78,how agile development aids fitara compliance  
79,epa cio on embracing agile development  
80,lynch: career prosecutors will make clinton investigation call  
81,official: ag will accept prosecutors' call on clinton case  
82,senate confirms new navy fleet cyber commander  
83,johnson talks airport security ahead of holiday weekend  
84,security forces inspection sparked shooter scare at andrews  
