,text
0,live now: the future of u.s. policy toward asia: implications of the 2016 elections for economic and security issues  pic.twitter.com/zl3ben6j0o
1,"live now: a conversation with her excellency michelle bachelet, president of chile #bacheletatwilson "
2,live:  &  sit down w/ h.e. michelle bachelet to talk abt #pacificalliance & #womenleaders  
3,"live at 4:15pm est, see  talk about #womenleaders and gender equality #50x50 #bacheletatwilson  ”"
4,what is the role of #womenleaders in #latinam? stream michelle bachelet live at 4:15 est :  
5,events in uzbekistan so far indicate another peaceful change of leadership   
6,#uzbekistan at a crossroads   pic.twitter.com/wzmynlgpud
7,the us is making strides in putting climate change on the peace & security agenda  #peaceday 
8,role of women in artisanal mining & peacebuilding #peaceday   pic.twitter.com/xefn6chwdw
9,2015 historic year for international commitments to sustainable development and new kinds of peacebuilding #peaceday  
10,the intl community does not adequately consider natural resources in post-conflict peacebuilding   
11,"after conflict, peacebuilding and recovery efforts too often miss the environment #peaceday   "
12,a more comprehensive look at leadership and #governance is critical to #africa’s future   
13,uzbekistan at a crossroads   
14,for world #peaceday  asks “how can we advance the cause of peace?”  
15,on this world #peaceday watch cindy arnson of  on transitional justice in #colombia’s post-accord context  
16,what sort of leaders will #africa need to become globally competitive? ://j.mp/2czjjtl 
17,icymi: leadership and the politics of reform in #africa: lessons from #nigeria wtih he babatunde fashola  
18,women's political participation: leadership and the global agenda    
19,live now: leadership and the politics of reform in #africa: lessons from #nigeria  
20,"there must be public buy in of american foreign policy going forward, says hon. jane harman  #concordia16 "
21,the wilson center's jane harman on global secuity ://j.mp/2ckk878 
22,hon. jane harman: 4 ways to deal with future threats #concordia16  pic.twitter.com/flnqejbubx
23,harassing protesting farmers & truckers was a case of myopia. the kremlin is now retracting its error   
24,icymi: video of event stateless but #notsilenced: a conversation on #refugees with refugees 
25,"un, u.s. summits offer modest immediate relief to #refugees, but systemic reforms needed   "
26,polite farmers and gentleman truckers at the moscow court   pic.twitter.com/6requsifma
27,heads of state soon gather for the un summit on #refugees. at least 65 million people are waiting for their help  
28,"women's political participation: leadership and the global agenda, moderated by  #concordiasummit "
29,jane harman will join gen. (ret.) petraeus at next week's #concordiasummit  pic.twitter.com/b8yrpntxws
30,"the #concordiasummit will have a panel on #womeninpolitics, featuring the center's  and h.e. joyce banda  "
31,what are the biggest threats facing america in the next four years? find out at next week's #concordiasummit  
32,live now: stateless but #notsilenced: a conversation on #refugees with refugees  pic.twitter.com/xrjjprltxt
33,"event tomorrow: stateless but #notsilenced: a conversation on #refugees with refugees, seats still available  "
34,live now: panel discussion: mapping #china's cultural genome  
35,"for his part, #putin is using the u.s. to enhance russia’s global profile ://j.mp/2cgmidg "
36,"on #syria cease-fire, putin and obama have, at least for now, overlapping interests   "
37,will #uzbekistan pivot to russia?   
38,lower costs of an economic relationship with russia than with china may push #uzbekistan closer to putin   
39,the #ceasefire announced friday positions putin well: he is more than an equal partner with the u.s.   
40,uzbekistan’s pivot?   
41,live now: johnnie carson on us africa policy …
42,"twenty veterans kill themselves every day, the department of #veteransaffairs reported in july   "
43,"combat missions are technically no longer being undertaken, even as the wars rage on   "
44,theatre of war: sophocles’ message for american veterans   
45,live now: a conversation with ambassador sergio amaral ://j.mp/2ckwad9 
46,live now: transitional justice in #colombia’s post-accord context   
47,"in #africa, we know something about powerful women #50x50   "
48,excellent article by  on the legacy of mao cites  documents   pic.twitter.com/8smnnuyn0f
49,reclaiming our place at the table: empowering african women leaders #50x50  pic.twitter.com/mxv31mtxgn
50,"beneath iranian supreme leader’s new plan for women, social structures of the past  "
51,"25 years after the collapse, the former soviet republics still share a commonpolitical outlook   "
52,the idea of the state as the supreme governing institution endures across the post-soviet expanse   
53,kennan cable no.18: how “the state” survived the collapse of the soviet union   
54,economic and political uncertainty facing brazil under #temer ://j.mp/2ccwfsj 
55,dilma's #impeachment has exposed latent tensions in the coalition of parties that backs #temer   
56,impeachment with impunity throws spanner into brazil’s recovery   
57,paranoia over foreign plots in iran leads it to persecute dual nationals as supposed agents of foreign governments  
58,instead of asking tough questions #nbc chose to play the same politicized and well-worn themes   
59,there was very little that was productive or new #commanderinchiefforum   
60,"wilson experts jane harman, roger-mark de souza, and  to speak at the concordia summit sept. 19-20 …"
61,so far society has been a fast learner and the #kremlin a successful professor   
62,the education of #russian society   
63,live now: the aftermath of #brazil’s presidential impeachment  
64,iran’s continued imprisonment of dual citizens   pic.twitter.com/y8uevdewff
65,upcoming event 9/14: from tribe to nation: iraqi #kurdistan on the cusp of statehood   
66,"winner of the 2014 ion ratiu democracy award, mustafa nayyem, profiled in   pic.twitter.com/mhfwe94ot5"
67,"sidelines, not the ‘main show’, defined g20 summit ://j.mp/2cxnor6 "
68,"on #syria, the u.s. is watching other powers act   pic.twitter.com/v0rtva3l7p"
69,learn how regional integration through #ecowas can help west african countries become more competitive  
70,"abu muhammad al-adnani, the voice of isis, is dead    pic.twitter.com/s4a2sf73dl"
71,live now: building a case for integrated development: identifying and answering key research questions  
72,"could #putin make peace between israel, palestinians? ://j.mp/2c2edgl "
73,president obama's initial assessment that #syria could be kept in a box proved to be a miscalculation. ://j.mp/2bjryp7 
74,obama never wanted to match active diplomacy with credible force if diplomacy failed.   
75,"a changing of the guard is underway in russia. it is via presidential decree, not elections.   "
76,reading the russian tea leaves is a growth industry.   
77,"turkish troops enter #syria to fight #isis, may also target u.s.-backed kurdish militia   "
78,putin's ever-shrinking circle shows a return to soviet politics  pic.twitter.com/bivkcrgykc
79,russia’s search for greater international influence and respect continued its downward spiral this summer.  
80,live now: the challenges of addressing new #immigration flows in #costa rica  
81,25 years later: remembering the collapse of the #sovietunion   pic.twitter.com/gicabpndlt
82,"in a recovering economy, many low-middle-income families earn too much to recv assistance but can't meet basic needs  "
83,"as the #2016 olympics draw to a close, the sport in the #cold war podcast looks back on olympic history   "
84,"apps, real-time translation services are helping #syrianrefugees in turkey forge new lives  pic.twitter.com/d934udmirh"
85,live now: women in public service in #africa--a #pledgeforparity   
86,live now: ayotzinapa case: final report by group of independent experts  pic.twitter.com/8xfmfcwpc6
87,#saudi arabia faces the missing 28 pages  
88,live now: north korea’s 7th party congress and its implications  
89,"play ""the fiscal ship"" and make your own plan to keep u.s. debt from rising #fiscalship  pic.twitter.com/sgjcxr1arq"
90,obama's delicate dance with #vietnam  pic.twitter.com/drhyfuvzs2
91,first female president takes office in #taiwan  pic.twitter.com/pihjhpa4ij
92,upcoming event on may 24--#zika in the u.s: can we manage the risk?  pic.twitter.com/g67k8zxqil
93,interview with james hollifield on the evolving #migration crisis in #europe  pic.twitter.com/aw91llrhbn
94,6 things you need to know about #venezuela’s political and economic crisis  
95,"the islamic state’s #egypt affiliate, the sinai province, is one of most effective #isis branches   "
96,live now: the migrant crisis: can it be managed? a conversation with osce secretary general lamberto zannier  
97,even the most stoic in #russia end up thinking of how not to become the next slice of salami.   
98,"a secret of #putin’s success is his restraint and an excellent sense of timing—knowing where, when, how much to cut  "
99,live now--india in asia: a conversation with ambassador nirupama rao  pic.twitter.com/fwphmactbi
100,think you can keep us federal debt in check? play #fiscalship and find out  pic.twitter.com/cno1fmq72q
101,"when we look at rwanda 22 years later, we forget that we were a broken nation that would have to rebuild itself  "
102,"live now: a conversation with the honourable saara kuugongelwa-amadhila, prime minister of the republic of #namibia "
103,live now--managing systemic risk: lessons from canada and the united states  
104,live now: dadaab to dollo ado--why east africa's refugee crises can no longer be ignored 
105,"live now: broken borders, broken states: one hundred years after sykes-picot  pic.twitter.com/kfakebup3g"
106,solve the us budget puzzle—your way. play #fiscalship from  and  today  
107,"after dilma rousseff, what lies ahead for #brazil?  "
108,"the mo ibrahim foundation estimates that across africa, $148 billion/yr is lost to corruption, 20% of its gdp  "
109,#anticorruption activists have teamed up with tech developers to tackle the problem through technology  
110,can africa automate its way out of #corruption?  pic.twitter.com/qqnglavar6
111,absent a miracle russia’s persistent failure to address corruption will exacerbate its economic woes 
112,"kenya is a leader in the use of technology to detect, report, prevent #corruption at the national/county levels.  "
113,the most insidious form of #corruption in many #mena countries is rarely recognized in the region  
114,egypt does not lack formal institutions; the problem is their functioning #corruption  
115,eric church on the learning potential associated with playing #seriousgames   pic.twitter.com/vdi2gv7pmf
116,live now--mexico and the united states: combating illicit finance together  
117,russian corruption: the kremlin fails to tackle its biggest problem  
118,political leaders need to feel that their political future is tied to visible success in fighting #corruption  
119,women bear the brunt of corruption due to poverty and obstructions to access to power  pic.twitter.com/9jvzcnesm6
120,the largest losses due to #corruption may be unseen  pic.twitter.com/wq6bq5sk3i
121,"without strong national will to fight #corruption, presidential directives and new laws will have little effect. "
122,ahead of the #anticorruption summit tomorrow read latest wilson perspectives on combatting #corruption  
123,"what would mobility look like in an inclusive, safe, resilient, sustainable city? #cities  pic.twitter.com/80xyehcopk"
124,live now: who watches the watchmen? the new intelligence oversight 
125,current debt levels will be unsustainable by 2040. can you change that?  pic.twitter.com/q19dqqsrzf
126,travels in france: reflections on world war ii heroes and victims 
127,the country's fiscal future is in your hands with our new #fiscalship game. try it out:  pic.twitter.com/qotnubnuhn
128,live now: a conversation with christina lamb on her new book farewell kabul  pic.twitter.com/0sydy0a8gf
129,working with the u.s. to secure a freeze of pyongyang's nuclear program is the best achievable outcome for beijing 
130,"in whatsapp chat, rep. ted lieu talks about end-to-end encryption   pic.twitter.com/srmhkcxfr3"
131,cyberwar on the islamic state   pic.twitter.com/hiot5qj0at
132,unclassified american assessments estimate that #northkorea will possess from 20 to 100 nuclear warheads by 2020  
133,how to put #northkorea's nukes on ice  pic.twitter.com/pr8xp1mylw
134,current debt levels will be unsustainable by 2040. can you change that?  pic.twitter.com/3d43b5e7pc
135,pyongyang's version of youtube recently featured a computer-animated clip of a nuclear strike on washington  
136,"five years after osama bin laden’s death, al qaeda remains a threat   pic.twitter.com/lf6dr5llcg"
137,live now: a conversation with nicholas burns on national security challenges in asia for the next u.s. president  
138,"live now--peace after paris: addressing climate, conflict, and development  "
139,have you got what it takes to keep us debt from rising? try our #fiscalship game & find out:  pic.twitter.com/tiv1kabhza
140,new documents take you inside the korean workers’ party congress   pic.twitter.com/ej5fvekry1
141,"short video on how to play the #fiscal ship, a new game on the federal budget  pic.twitter.com/0zvod5iw2x"
142,"live now: a conversation with mark landler on this new book ""alter egos""  pic.twitter.com/5nk4yi3iui"
143,the korean workers’ party will host its 7th party congress after a 36 yr gap. why now?  pic.twitter.com/orprhk9jmq
144,live now: mexican civil society's battle against corruption: #ley3de3”  
145,two political projects involving men close to putin may help us understand the kremlin’s thinking about its future  
146,the us and china have wildly different visions of the internet. but they also have shared interests   
147,culture and rights: the struggle from within to end female genital cutting   pic.twitter.com/nodm2hd0ul
148,. explores the shifting focus in mexico from a war on drugs to a battle against corruption  
