,text
0,only one week left to get your #cybercon2016 ticket at the advanced purchase rate! don't miss this deal: http://ow.ly/1l0h304stpx 
1,opm releases back pay interest calculator http://ow.ly/nl7d504mb0b 
2,top democrats say they've concluded russia is behind hacks http://ow.ly/swer504mfy2 
3,nsa building contract to help redirect incoming asteroids http://ow.ly/yqud504m96w 
4,house unanimously passes it modernization bill http://ow.ly/gor3504kait 
5,hybrid approach to federal open source http://ow.ly/sckh504ke9d 
6,"cloud use, spending to increase substantially but more so for private vendors http://ow.ly/jwag504k6oq "
7,what questions would you like to hear answered at cybercon? tweet us yours using #cybercon2016!  http://ow.ly/bbma304srox 
8,nist grants fund regional cybersecurity education communities http://ow.ly/yfo5504ihtn 
9,sammie awards spotlight the best in government http://ow.ly/lo1e504iclb 
10,senior executives association names new presidenthttp://ow.ly/rfpy504ipfl 
11,irs chief tells house panel he does not deserve impeachment http://ow.ly/8znb504ihb8 
12,3 takeaways from psc’s federal cio survey http://ow.ly/z9oh504iahj 
13,"check out the #cybercon2016 website for speaker confirmations, conference agenda, and to reserve your ticket!http://ow.ly/3bin304qikj "
14,navy sets gsa’s oasis as main source for professional services http://ow.ly/8ehw504g58d 
15,fbi arrest man threatening to shoot up federal building http://ow.ly/8dfd504fyy6 
16,dhs climbs off the mat in latest fevs survey http://ow.ly/8xuw504fkp2 
17,gsa facilities contract awarded first best-in-class status http://ow.ly/9cih504dljg 
18,sorting dirty data is the final hurdle in leveraging analytics http://ow.ly/3fr6504derc 
19,#cybercon2016 update: brig gen robert skinner will be speaking on the tip-of-spear panel. get your tickets now: http://ow.ly/jnem304hbbt 
20,dhs offers help securing elections from hacks — on voluntary basishttp://ow.ly/x4op504ywxk 
21,media outlets sue fbi for details on iphone hacking tool http://ow.ly/pbav504yqux 
22,"true foia litigation costs unknown, says gao http://ow.ly/io1x504ykvx "
23,new omb guidance updates privacy management for agencies http://ow.ly/v5g0504x1fm 
24,report: federal ctos speed innovative tech if given proper structure http://ow.ly/j3gd504wrzn 
25,memo for the next dhs secretary http://ow.ly/tuyi504wlo4 
26,merged it modernization bill to include central fund http://ow.ly/ecqx504v9ah 
27,us official: hard to alter us elections through hacking http://ow.ly/9moy504uwmj 
28,tickets for #cybercon2016 are going fast! reserve your spot now: http://ow.ly/ox9c304dym4 
29,omb opens search for permanent deputy federal ciso http://ow.ly/parb504uqgg 
30,"unions, accountability foes battle again on va reform http://ow.ly/6kkt504ucep "
31,addressing the people factor in insider threats http://ow.ly/bd83504symh 
32,the defense news top 100 webcast with ed caso and steven grundman is today at 2pm! you still have time to register: http://ow.ly/gekp304aftz 
33,the defense news top 100 webcast with ed caso and steven grundman is tomorrow! register here: http://ow.ly/25lb3047r6j 
34,5 days until the defense news top 100 webcast with ed caso and steven grundman! sign up here: http://ow.ly/vtmy3044gbe 
35,omb taps current fed to fill federal ciso role http://ow.ly/gm20504js6t 
