timestamp,user,fullname,text,hashtags,id,url,retweets,favorites,replies
2016-09-23 13:26:57,TheWilsonCenter,The Wilson Center,Live Now: The Future of U.S. Policy Toward Asia: Implications of the 2016 Elections for Economic and Security Issues http://j.mp/2cRtsZo pic.twitter.com/zl3Ben6j0o,,779311090979205124,/TheWilsonCenter/status/779311090979205124,5,3,0
2016-09-22 20:23:01,TheWilsonCenter,The Wilson Center,"Live Now: A Conversation with Her Excellency Michelle Bachelet, President of Chile #BacheletAtWilsonhttp://j.mp/2cp4BWR ",#BacheletAtWilsonhttp,779053407168524288,/TheWilsonCenter/status/779053407168524288,5,5,0
2016-09-22 19:16:10,TheWilsonCenter,The Wilson Center,LIVE: @GwenKYoung & @CindyArnson sit down w/ H.E. Michelle Bachelet to talk abt #PacificAlliance & #WomenLeaders http://j.mp/2dmL4v1 ,#WomenLeaders #PacificAlliance,779036584695955457,/TheWilsonCenter/status/779036584695955457,0,1,0
2016-09-22 18:42:09,TheWilsonCenter,The Wilson Center,"Live at 4:15PM EST, see @presidencia_cl talk about #WomenLeaders and gender equality #50x50 #BacheletAtWilson http://j.mp/2cU8MO4 ”",#WomenLeaders #BacheletAtWilson #50x50,779028026134757376,/TheWilsonCenter/status/779028026134757376,1,1,0
2016-09-22 16:24:15,TheWilsonCenter,The Wilson Center,What is the role of #WomenLeaders in #LatinAm? Stream Michelle Bachelet live at 4:15 EST @TheWilsonCenter: http://j.mp/2dctYN5 ,#WomenLeaders #LatinAm,778993321079410689,/TheWilsonCenter/status/778993321079410689,2,1,0
2016-09-22 14:38:00,TheWilsonCenter,The Wilson Center,Events in Uzbekistan so far indicate another peaceful change of leadership @kennaninstitute http://j.mp/2cQRth7 ,,778966581669945344,/TheWilsonCenter/status/778966581669945344,0,1,0
2016-09-21 23:36:30,TheWilsonCenter,The Wilson Center,#Uzbekistan at a Crossroads @kennaninstitute http://j.mp/2dkHKAr pic.twitter.com/WzmynLGPUd,#Uzbekistan,778739712286609408,/TheWilsonCenter/status/778739712286609408,1,2,0
2016-09-21 22:37:00,TheWilsonCenter,The Wilson Center,The US is making strides in putting climate change on the peace & security agenda @NewSecurityBeat #peacedayhttp://j.mp/2cHUijy ,#peacedayhttp,778724738713518080,/TheWilsonCenter/status/778724738713518080,1,4,0
2016-09-21 22:02:05,TheWilsonCenter,The Wilson Center,Role of Women in Artisanal Mining & Peacebuilding #peaceday @AfricaUpClose http://j.mp/2dk4EYG pic.twitter.com/XEFN6ChwDW,#peaceday,778715953823481856,/TheWilsonCenter/status/778715953823481856,1,0,0
2016-09-21 21:23:00,TheWilsonCenter,The Wilson Center,2015 historic year for international commitments to sustainable development and new kinds of peacebuilding #peaceday http://j.mp/2cL6nYB ,#peaceday,778706117220114432,/TheWilsonCenter/status/778706117220114432,6,3,0
2016-09-21 20:15:01,TheWilsonCenter,The Wilson Center,The intl community does not adequately consider natural resources in post-conflict peacebuilding @NewSecurityBeat http://j.mp/2dk1hB2 ,,778689007249072128,/TheWilsonCenter/status/778689007249072128,3,2,0
2016-09-21 19:16:00,TheWilsonCenter,The Wilson Center,"After Conflict, Peacebuilding and Recovery Efforts Too Often Miss the Environment #peaceday @NewSecurityBeat http://j.mp/2d4Nuzc ",#peaceday,778674154753101824,/TheWilsonCenter/status/778674154753101824,1,3,0
2016-09-21 19:00:39,TheWilsonCenter,The Wilson Center,A more comprehensive look at leadership and #governance is critical to #Africa’s future @AfricaUpClose http://j.mp/2d4vQvw ,#governance #Africa,778670295079067648,/TheWilsonCenter/status/778670295079067648,1,0,0
2016-09-21 18:42:11,TheWilsonCenter,The Wilson Center,Uzbekistan at a Crossroads @kennaninstitute http://j.mp/2cKELmh ,,778665647622455296,/TheWilsonCenter/status/778665647622455296,0,1,0
2016-09-21 18:20:01,TheWilsonCenter,The Wilson Center,For World #PeaceDay @CarnegieCorp asks “How can we advance the cause of peace?” http://j.mp/2d9jdeA ,#PeaceDay,778660065951813632,/TheWilsonCenter/status/778660065951813632,1,0,0
2016-09-21 18:08:18,TheWilsonCenter,The Wilson Center,On this World #PeaceDay watch Cindy Arnson of @LATAMProg on transitional justice in #Colombia’s post-accord context http://j.mp/2cRS40n ,#Colombia #PeaceDay,778657119746813954,/TheWilsonCenter/status/778657119746813954,2,2,0
2016-09-21 16:24:08,TheWilsonCenter,The Wilson Center,What sort of leaders will #Africa need to become globally competitive? @AfricaUpClosehttp://j.mp/2cZJJtl ,#Africa,778630903388069889,/TheWilsonCenter/status/778630903388069889,1,1,0
2016-09-21 15:30:11,TheWilsonCenter,The Wilson Center,ICYMI: Leadership and the Politics of Reform in #Africa: Lessons from #Nigeria wtih HE Babatunde Fashola http://j.mp/2cRrUuz ,#Africa #Nigeria,778617326795104256,/TheWilsonCenter/status/778617326795104256,1,0,0
2016-09-20 21:18:57,TheWilsonCenter,The Wilson Center,Women's Political Participation: Leadership and the Global Agenda @gwenkyoung @ConcordiaSummit http://j.mp/2cFDzNA ,,778342709513814017,/TheWilsonCenter/status/778342709513814017,1,1,0
2016-09-20 18:10:05,TheWilsonCenter,The Wilson Center,Live Now: Leadership and the Politics of Reform in #Africa: Lessons from #Nigeria http://j.mp/2cOxE8i ,#Africa #Nigeria,778295178142556162,/TheWilsonCenter/status/778295178142556162,1,3,0
2016-09-19 18:31:01,TheWilsonCenter,The Wilson Center,"There must be public buy in of American foreign policy going forward, says Hon. Jane Harman  #concordia16http://j.mp/2ddKdN3 ",#concordia16http,777938059899863041,/TheWilsonCenter/status/777938059899863041,1,2,0
2016-09-19 16:31:02,TheWilsonCenter,The Wilson Center,The Wilson Center's Jane Harman on global secuity @Concordiasummithttp://j.mp/2cKk878 ,,777907866984382464,/TheWilsonCenter/status/777907866984382464,1,3,0
2016-09-19 15:09:05,TheWilsonCenter,The Wilson Center,Hon. Jane Harman: 4 Ways to Deal with Future Threats #Concordia16 http://j.mp/2cKiylS pic.twitter.com/flNqEJBUbx,#Concordia16,777887239686721536,/TheWilsonCenter/status/777887239686721536,2,2,0
2016-09-17 00:39:00,TheWilsonCenter,The Wilson Center,Harassing protesting farmers & truckers was a case of myopia. The Kremlin is now retracting its error @russiafiles http://j.mp/2cD0et5 ,,776943502441738240,/TheWilsonCenter/status/776943502441738240,1,1,1
2016-09-16 23:23:00,TheWilsonCenter,The Wilson Center,ICYMI: Video of event Stateless But #NotSilenced: A Conversation on #Refugees with Refugeeshttp://j.mp/2cD5sFi ,#Refugees #NotSilenced,776924377526984708,/TheWilsonCenter/status/776924377526984708,2,1,0
2016-09-16 22:04:01,TheWilsonCenter,The Wilson Center,"UN, U.S. Summits Offer Modest Immediate Relief to #Refugees, But Systemic Reforms Needed @cassidyjosephp http://j.mp/2d4ohRK ",#Refugees,776904497545244672,/TheWilsonCenter/status/776904497545244672,1,0,0
2016-09-16 21:23:04,TheWilsonCenter,The Wilson Center,Polite Farmers and Gentleman Truckers at the Moscow Court @russiafiles http://j.mp/2cPQhMk pic.twitter.com/6REQusIFma,,776894194476544001,/TheWilsonCenter/status/776894194476544001,1,1,0
